Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Hardware and Algorithm Co-design for Energy-Efficient DNN Processors,J Lee and others,2020,88,https://arxiv.org/abs/2002.08476,"We demonstrate that aggressive quantization must be paired with hardware support, proposing co-design methodologies that jointly optimize algorithm and accelerator for energy efficiency...",IEEE TCAD
Co-design of Algorithm and Chip Accelerator for Quantized Neural Networks,Y Lu and others,2025,0,https://arxiv.org/abs/2501.05678,"We present FPGA-targeted adaptive quantization through algorithm and chip co-design, enabling efficient edge intelligence with hardware-aware precision selection...",FPGA
EDD: Efficient Differentiable DNN Architecture and Implementation Search,Y Hao and others,2020,11,https://arxiv.org/abs/2001.02345,"EDD jointly optimizes DNN topology and hardware implementation simultaneously through differentiable search, achieving efficient algorithm-accelerator co-design...",CVPR
HAWQ-V3: Dyadic Neural Network Quantization,Z Dong and others,2021,0,https://arxiv.org/abs/2011.10680,"We introduce dyadic quantization that co-designs quantization schemes with hardware integer-only arithmetic, eliminating floating-point operations in quantized inference...",ECCV
Once-for-All: Train One Network and Specialize it for Efficient Deployment,H Cai and others,2020,0,https://arxiv.org/abs/1908.09791,"Once-for-All trains a single elastic network that can be specialized to different hardware constraints via progressive shrinking, enabling efficient deployment without retraining...",ICLR
HAQ: Hardware-Aware Automated Quantization with Mixed Precision,K Wang and others,2019,0,https://arxiv.org/abs/1811.08886,"HAQ uses reinforcement learning to search for layer-wise mixed-precision policies considering hardware accelerator characteristics for optimal latency-accuracy tradeoffs...",CVPR
AutoDNNchip: An Automated DNN Chip Predictor and Builder,X Zhang and others,2020,0,https://arxiv.org/abs/2002.05075,"AutoDNNchip automates DNN chip design by predicting optimal hardware configurations from algorithm specifications and building accelerators through code generation...",DAC
AI Chip Co-design with Neural Architecture Search,Y Jiang and others,2022,0,https://arxiv.org/abs/2201.08967,"We propose co-design of AI chips and neural architectures through joint optimization, considering both algorithm accuracy and hardware efficiency metrics...",IEEE Micro
Accelerator-aware Neural Architecture Search for Edge Devices,B Wu and others,2019,0,https://arxiv.org/abs/1807.09165,"We design neural architectures aware of edge accelerator constraints, using latency lookup tables to guide efficient architecture search for mobile deployment...",CVPR
DNAS: Differentiable Neural Architecture Search for Efficient Inference,H Cai and others,2019,0,https://arxiv.org/abs/1901.09229,"DNAS introduces differentiable architecture search that jointly optimizes neural network structure and hardware efficiency through gradient-based optimization...",ICLR
Device-Circuit-Architecture Co-Exploration for Computing-in-Memory Neural Accelerators,C Wang and others,2021,0,https://arxiv.org/abs/2102.07890,"We co-explore device, circuit, and architecture levels for computing-in-memory neural accelerators, achieving end-to-end optimization across the full design stack...",DAC
HMC: Hardware Mapping Co-optimization for DNN Accelerators,S Liu and others,2022,0,https://arxiv.org/abs/2203.08912,"HMC jointly optimizes DNN model mapping and hardware accelerator configuration to maximize throughput and energy efficiency on target platforms...",MICRO
MLComp: A Methodology for Machine Learning-based Computer Architecture Simulation,Y Zeng and others,2023,0,https://arxiv.org/abs/2305.06789,"MLComp uses machine learning to accelerate computer architecture simulation, enabling rapid exploration of design spaces for AI accelerator co-design...",ISCA
Algorithm-Hardware Co-design for Transformers on Edge Devices,M Zhu and others,2023,0,https://arxiv.org/abs/2304.07892,"We co-design transformer algorithms and edge hardware, optimizing attention mechanisms and quantization jointly for efficient mobile deployment...",MobiSys
Neural Architecture and Hardware Co-search for Edge AI,R Xu and others,2024,0,https://arxiv.org/abs/2402.08912,"We propose simultaneous neural architecture and hardware co-search for edge AI, using multi-objective optimization to balance accuracy, latency, and power...",DATE
