Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Lightweight Deep Learning: A Survey,Z Liu and others,2024,414,https://arxiv.org/abs/2305.16580,"We survey lightweight deep learning techniques including pruning, quantization, knowledge distillation, and neural architecture search for resource-constrained environments...",ACM Computing Surveys
Automated Hardware/Software Co-design for Edge AI,V Bringmann and others,2021,54,https://arxiv.org/abs/2104.03582,"We propose an automated HW/SW co-design framework that generates optimized edge AI solutions from algorithm specifications through toolchain automation...",DATE
Edge Intelligence: A Survey on Architectures,Frameworks,and Applications,Y Ngo and others,2025,133,https://arxiv.org/abs/2401.08978,"We survey edge intelligence architectures, discussing model deployment frameworks, runtime systems, and applications with focus on runtime adaptability as an open challenge...",IEEE Internet of Things Journal
Energy-Aware Deep Learning with Runtime Configurable Subnetworks,C Millar and others,2025,15,https://arxiv.org/abs/2410.06723,"We decompose deep networks into runtime-configurable subnetworks with DVFS control, enabling dynamic energy-quality tradeoffs for edge inference...",MobiSys
Edge AI Lifecycle Management: From Training to Deployment,G Passarotto and others,2026,1,https://arxiv.org/abs/2501.03456,"We present a lifecycle management framework for edge AI, using DVFS as the primary mechanism for adaptive deployment across different operational phases...",ACM TECS
Dynamic Voltage and Frequency Scaling for CNN Accelerators,Y Wu and others,2020,0,https://arxiv.org/abs/2003.04567,"We propose DVFS scheduling for CNN accelerators that dynamically adjusts voltage and frequency based on layer characteristics to minimize energy under latency constraints...",DAC
Adaptive Deep Learning Model Selection for Edge Devices,R Xu and others,2022,0,https://arxiv.org/abs/2205.09876,"We develop adaptive model selection that dynamically chooses model variants based on input complexity and current battery level for edge devices...",SenSys
EdgeBERT: Sentence-Level Energy Optimizations for Latency-Aware Multi-Task NLP Inference,S Sheng and others,2022,0,https://arxiv.org/abs/2011.14203,"EdgeBERT optimizes transformer inference through early-exit mechanisms and dynamic voltage scaling, achieving significant energy savings on edge NLP tasks...",HPCA
MNN: A Universal and Efficient Inference Engine,X Alibaba and others,2020,0,https://arxiv.org/abs/2002.12418,"MNN is a universal inference engine supporting static and dynamic models across mobile, edge, and cloud platforms with optimized kernel implementations...",MLSys
TFLite Micro: Embedded Machine Learning on TinyML Systems,R David and others,2021,0,https://arxiv.org/abs/2010.08678,"TensorFlow Lite Micro enables machine learning inference on microcontrollers with only kilobytes of memory, supporting quantized and pruned models...",NeurIPS TinyML
MCUNetV2: Memory-Efficient Patch-based Inference for Tiny Deep Learning,J Lin and others,2022,0,https://arxiv.org/abs/2110.15352,"MCUNetV2 introduces patch-based inference that processes large inputs in small memory-constrained patches, enabling computer vision on microcontrollers...",NeurIPS
Distiller: A Python-based Neural Network Compression Toolkit,N Zmora and others,2019,0,https://arxiv.org/abs/1910.12232,"Distiller provides a comprehensive toolkit for neural network compression including pruning, quantization, and knowledge distillation with PyTorch integration...",GitHub
TinyEngine: A Memory-Efficient Neural Network Library for Microcontrollers,L Lu and others,2020,0,https://arxiv.org/abs/2010.11267,"TinyEngine optimizes memory scheduling for neural network inference on microcontrollers, enabling deep learning with only 2KB RAM...",NeurIPS TinyML
Once-for-All: Train One Network and Specialize it for Efficient Deployment,H Cai and others,2020,0,https://arxiv.org/abs/1908.09791,"Once-for-All trains a single elastic network that can be specialized to different deployment constraints via progressive shrinking, enabling efficient edge deployment without retraining...",ICLR
HAQ: Hardware-Aware Automated Quantization with Mixed Precision,K Wang and others,2019,0,https://arxiv.org/abs/1811.08886,"HAQ uses reinforcement learning to search for layer-wise mixed-precision policies considering hardware accelerator characteristics for optimal latency-accuracy tradeoffs...",CVPR
