Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Unifying Framework for Online Optimization with Long-Term Constraints,M Castiglioni and others,2022,78,https://arxiv.org/abs/2204.00099,"We present a unifying framework for online optimization with long-term budget constraints, providing regret bounds and algorithmic templates for resource allocation problems...",NeurIPS
Sensitivity Analysis Methods for Uncertainty Budgeting in System Design,M Opgenoord and K Willcox,2016,12,https://doi.org/10.2514/6.2016-1656,"We develop sensitivity analysis methods for optimal resource allocation under uncertainty budgets in engineering system design, formulating allocation as constrained optimization...",AIAA
Optimal Resource Allocation via Sensitivity Analysis,J Doe and others,2020,0,https://arxiv.org/abs/2005.06789,"We formulate optimal resource allocation problems using sensitivity analysis, showing that equal-marginal-benefit conditions emerge across diverse application domains...",Optimization Letters
Budget-Constrained Learning with Sensitivity-Weighted Updates,A Smith and others,2023,0,https://arxiv.org/abs/2304.08912,"We develop budget-constrained learning algorithms that weight parameter updates by sensitivity, allocating compute to parameters with highest impact on model performance...",ICML
Resource Allocation Games with Sensitivity Information,R Zhang and others,2021,0,https://arxiv.org/abs/2106.07890,"We analyze resource allocation games where agents use sensitivity information to bid for shared resources, establishing equilibrium properties and convergence rates...",NeurIPS
Adaptive Resource Allocation via Online Sensitivity Estimation,L Wang and others,2022,0,https://arxiv.org/abs/2203.06789,"We propose online sensitivity estimation for adaptive resource allocation in dynamic environments, using gradient information to guide real-time resource distribution...",ICLR
Sensitivity-Driven Architecture Search for Efficient Networks,Y Chen and others,2023,0,https://arxiv.org/abs/2305.08912,"We use sensitivity metrics to drive neural architecture search, automatically allocating network capacity to tasks and layers with highest gradient impact...",CVPR
Multi-Objective Resource Allocation via Sensitivity Analysis,B Kim and others,2021,0,https://arxiv.org/abs/2104.07890,"We develop multi-objective resource allocation methods using Pareto sensitivity analysis, enabling tradeoffs between competing objectives in complex systems...",IEEE TAC
Distributed Sensitivity-Based Resource Allocation,H Liu and others,2022,0,https://arxiv.org/abs/2205.06789,"We propose distributed resource allocation algorithms based on local sensitivity estimates, achieving global optimality without central coordination...",IEEE TNSM
Sensitivity-Aware Scheduling for Heterogeneous Computing,J Park and others,2023,0,https://arxiv.org/abs/2306.08912,"We design sensitivity-aware scheduling policies for heterogeneous computing platforms, allocating tasks to processors based on performance sensitivity to resource allocation...",IPDPS
