Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,N Shazeer and others,2017,7484,https://arxiv.org/abs/1701.06538,"The sparsely-gated mixture-of-experts layer enables training neural networks with over 100 billion parameters by routing each input to a small subset of experts, achieving computational efficiency at massive scale...",ICML
A Survey on Mixture of Experts,X Mu and others,2025,226,https://arxiv.org/abs/2407.06204,"We provide a comprehensive survey of mixture-of-experts models, covering routing algorithms, expert architectures, training strategies, and applications across vision and language tasks...",IEEE TPAMI
Toward Efficient Inference for Mixture of Experts,J Huang and others,2024,72,https://arxiv.org/abs/2406.06214,"We analyze the inference bottleneck in MoE models and propose dynamic gating with variable capacities to reduce latency while maintaining accuracy...",NeurIPS
Adaptive Gating in Mixture-of-Experts Language Models,Y Li and others,2023,53,https://arxiv.org/abs/2309.04554,"We introduce adaptive gating that dynamically adjusts the number of activated experts per token based on input complexity, trading off computation and performance...",EMNLP
Mixture of Experts with Expert Choice Routing,Y Zhou and others,2023,0,https://arxiv.org/abs/2202.09368,"Expert Choice routing selects the top-k tokens for each expert rather than top-k experts per token, improving load balancing and training stability in MoE models...",ICML
Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,W Fedus and others,2022,0,https://arxiv.org/abs/2101.03961,"Switch Transformers simplify MoE routing to a single expert per token, enabling efficient training of models with over 1 trillion parameters...",Journal of Machine Learning Research
ST-MoE: Designing Stable and Transferable Sparse Expert Models,Z Zoph and others,2022,0,https://arxiv.org/abs/2202.08906,"We design stable and transferable sparse expert models with improved routing stability and cross-task transferability for large-scale language understanding...",ICLR
BASE Layers: Simplifying Training of Large Sparse Models,M Lewis and others,2021,0,https://arxiv.org/abs/2103.16716,"BASE layers replace top-k routing with balanced assignment, ensuring all experts receive similar numbers of tokens for stable large-scale training...",NeurIPS
Tutel: Adaptive Mixture-of-Experts at Scale,C Hwang and others,2023,0,https://arxiv.org/abs/2206.03382,"Tutel provides an adaptive MoE system that dynamically optimizes parallelism strategies and scheduling for efficient distributed training of sparse models...",OSDI
MegaBlocks: Efficient Sparse Training with Mixture-of-Experts,T Gale and others,2023,0,https://arxiv.org/abs/2211.15841,"MegaBlocks introduces efficient GPU kernels for MoE training, achieving high hardware utilization through optimized sparse matrix operations...",MLSys
Pre-gated MoE: An Algorithm-System Co-design for Fast MoE Inference,C Hwang and others,2024,0,https://arxiv.org/abs/2406.07188,"We propose pre-gated MoE with algorithm-system co-design, predicting expert activation to overlap communication with computation and reduce inference latency...",ASPLOS
Fast MoE: A Fast Mixture-of-Expert Training System,J He and others,2022,0,https://arxiv.org/abs/2103.13262,"Fast MoE optimizes distributed training of MoE models through expert parallelism and hierarchical all-to-all communication...",EuroSys
QMoE: Practical Sub-1-Bit Compression of Trillion-Parameter Models,E Frantar and others,2024,0,https://arxiv.org/abs/2310.16795,"QMoE achieves sub-1-bit compression of MoE models through extreme quantization, reducing storage requirements for trillion-parameter models to practical levels...",NeurIPS
MoEfication: Transformer Feed-forward Layers Are Hidden Mixture-of-Experts,Z Zhang and others,2022,0,https://arxiv.org/abs/2110.01786,"MoEfication discovers that standard transformer FFN layers can be decomposed into implicit mixtures of experts, enabling efficient conversion to explicit MoE architectures...",EMNLP
DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training,S Rajbhandari and others,2022,0,https://arxiv.org/abs/2201.05596,"DeepSpeed-MoE enables efficient training and inference of trillion-parameter MoE models through optimized parallelism and communication primitives...",MLSys
